What's your relationship to renting in Bengaluru right now?,Where do you live in Bangalore?,"When your rent was last renewed, how much did it go up?","When your landlord last hiked the rent, what happened?",The security deposit you paid was roughly…,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,None of these,What's the most you'd pay in rent before you'd rather just leave Bengaluru?,Do you think Bengaluru should put a limit on how much rent can go up?,Roughly what share of your monthly take-home pay goes towards rent?,What do you think is the biggest reason Bengaluru rents have risen?,What is the hardest part of renting in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",9–10 months,,,,,,None of these,I'll pay whatever it takes to stay,Strongly disagree,Under 20%,IT salaries,,45 – 54,Self-employed / run my own business,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",21–40%,I negotiated it down,1–2 months' rent,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,IT salaries,"Finding the place, brokerage,",25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I pushed back, and they didn't budge",More than 10 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,IT salaries,,35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,,,None of these,Another 25%,Strongly disagree,Under 20%,Not enough housing,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,"I pushed back, and they didn't budge",3–5 months,,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,Strongly agree,20–30%,IT salaries,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I walked/moved out over it,More than 10 months,,Downgraded to a smaller/older place,,,,,I'm already past my limit,Strongly agree,30–40%,Landlords taking advantage,Discrimination,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",More than 10 months,,,,,,None of these,Another 25%,Agree,Under 20%,Landlords taking advantage,bachelors and vegetarian,35 – 44,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,Another 25%,Strongly agree,20–30%,Not enough housing,,25 – 34,Self-employed / run my own business,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I pushed back, and they didn't budge",6–8 months,Moved somewhere with a much longer commute,,,,,,Another 25%,Disagree,Under 20%,Landlords taking advantage,Finding good home owner,35 – 44,Mid career,completed
I pay rent,Outer / just outside city limits,11–20%,"I paid it, no discussion",6–8 months,,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly agree,30–40%,Brokers,,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 10% and I'm out,Strongly disagree,Under 20%,Too many people moving here,"Security advance, Refund deduction while vacating, Brokerage, Closer to work location",35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Too many people moving here,Finding ways to avoid traffic to office while finding rental home,25 – 34,Mid career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Up to 10%,"I paid it, no discussion",1–2 months' rent,Moved somewhere with a much longer commute,,,,,,Another 25%,Agree,Under 20%,Landlords taking advantage,Finding a house,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,I negotiated it down,3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,,Under 25,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",21–40%,I negotiated it down,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Strongly agree,Under 20%,Too many people moving here,,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,20–30%,Too many people moving here,paying brokerage and high deposits,25 – 34,Student,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I pushed back, and they didn't budge",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,"If both husband and wife working, it is difficult to find a flat which is not leading to 60+ minutes commute one way, in a budget one is comfortable.",35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I paid it, no discussion",3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,I'll pay whatever it takes to stay,Not sure,20–30%,Landlords taking advantage,Lack of good homes,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,,,Another 25%,Disagree,Under 20%,Not enough housing,"Finding a decent place  (ventilation, connectivity, allows batchelors)",25 – 34,Early career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,Delayed other financial goals,,Another 25%,Strongly agree,40–50%,Too many people moving here,Wanting to upgrade to a better house with evolving is not a possibility. Even after 5 treats.,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,Too many people moving here,Finding the balance between price and quality,35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Too many people moving here,,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,,,,,,I'll pay whatever it takes to stay,Agree,Under 20%,Brokers,Finding a good affordable society near work place,35 – 44,Senior career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",21–40%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,Dealing with landlords,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,Dipped into savings to keep up,,,Another 10% and I'm out,Strongly agree,20–30%,Too many people moving here,"Atiny fraction of tenants working in high paying industries are willing to pay a hefty premium. All landlords in the locality use that as a common benchmark to drive up rents. Post covid, brokers are to blame as well - given the constant inflow of migrants from all across india resulting in continuous demand for housing, brokers incite landlords with the lure of getting higher rentals, forcing existing tenants to cough up more or vacate.",35 – 44,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,,Downgraded to a smaller/older place,,,,None of these,Another 25%,Agree,Under 20%,Not enough housing,Finding a place close to work,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,1–2 months' rent,,,,,,None of these,Another 10% and I'm out,Strongly disagree,20–30%,Not enough housing,Finding a house more than renting,Under 25,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",21–40%,"I pushed back, and they didn't budge",3–5 months,,,,,,None of these,I'm already past my limit,Strongly agree,Under 20%,Landlords taking advantage,"Zero negotiating power, you can try but landlord has other people who’d pay what the owner asks and then some more.",25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,,,I'll pay whatever it takes to stay,Strongly disagree,Under 20%,Too many people moving here,,25 – 34,Student,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,I walked/moved out over it,3–5 months,,Downgraded to a smaller/older place,,,,,I'm already past my limit,Agree,30–40%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,Took on flatmates I'd rather not have,,,,I'd never leave over rent,Agree,Under 20%,Too many people moving here,,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,I negotiated it down,3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,Took on flatmates I'd rather not have,,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,Finding a decent house in budget,Under 25,Early career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",11–20%,I negotiated it down,3–5 months,,Downgraded to a smaller/older place,,,,,Another 25%,Agree,Under 20%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,,Delayed other financial goals,,Another 25%,Strongly agree,Under 20%,Something else,"all parties involved in renting out properties are incentivised to be a terrible experience. brokers don’t look at your basic qualifications, landlords don’t even bother thinking of the law, and the government doesn’t bother enforcing anything to improve standards of living. the conjunction of these three makes it impossible to be a tenant in this city if you’re not well connected or rich",Under 25,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,Rents are exorbitant. The renter doesn't have much leverage when it comes to negotiation since there is always someone willing to pay it.,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,IT salaries,Rent for old and sub par apartments are not reasonable in areas with decent demand,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,Another 25%,Strongly agree,Under 20%,Landlords taking advantage,Mediocre housing charging high rents simply because a premium property in the vicinity is charging high.,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",1–2 months' rent,Moved somewhere with a much longer commute,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Agree,20–30%,Landlords taking advantage,Finding affordable houses that aren't boxed in on all sides with buildings less than 10m away,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",9–10 months,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,The fact that you know that you will never get your advance back but yet you have to pay an hefty advance plus brokerage and all other moving in expenses and still you will be kicked out anytime they feel like,35 – 44,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",9–10 months,Moved somewhere with a much longer commute,,,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,Strongly agree,Over 50%,Landlords taking advantage,,25 – 34,Early career,completed
I pay rent,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Haven't renewed / not applicable,Haven't faced a rent hike,6–8 months,,,,,,None of these,Another 25%,Agree,20–30%,Landlords taking advantage,,Under 25,Early career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'll pay whatever it takes to stay,Strongly disagree,Under 20%,IT salaries,Not many good options,35 – 44,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,I negotiated it down,3–5 months,Moved somewhere with a much longer commute,,Took on flatmates I'd rather not have,,,,Another 25%,Strongly agree,30–40%,Landlords taking advantage,finding a place for single woman apart from sharing with another flatmate,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,,Delayed other financial goals,,I'd never leave over rent,Strongly agree,20–30%,Landlords taking advantage,"Finding an apartment with amenities, connectivity while being affordable and in the main city.",25 – 34,Not working right now,completed
I pay rent,Outer / just outside city limits,Haven't renewed / not applicable,"I paid it, no discussion",3–5 months,Moved somewhere with a much longer commute,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,20–30%,IT salaries,getting money back from the current landlord at the end of your stay.,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,6–8 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,I'm already past my limit,Strongly agree,30–40%,IT salaries,"Insane deposits, high rents, and one-month rent cutoff for painting and extra charges for when you want to move. Also discrimination against religion and family type",25 – 34,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,I negotiated it down,6–8 months,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,Under 20%,Not enough housing,Very limited societies due to unorganised and haphazard development unlike Noida and Gurgaon. There is skewness in rent between standalone buildings vs gated societies.,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,,Delayed other financial goals,,Another 25%,Strongly disagree,30–40%,IT salaries,,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Strongly disagree,Under 20%,Not enough housing,"Finding the right flat, which is central, is well-kept, and has a good community. Search is the biggest trouble in central Bangalore. Most listings are fake.",45 – 54,Senior career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,,,,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,30–40%,Too many people moving here,,Under 25,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Strongly disagree,Under 20%,Not enough housing,,Under 25,Early career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,,,,,None of these,I'd never leave over rent,Strongly agree,20–30%,Too many people moving here,"House hunting, with an extremely fragmented market that is mostly inaccessible unless you know the right broker",25 – 34,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",1–2 months' rent,,,,,,None of these,I'll pay whatever it takes to stay,Strongly agree,Under 20%,Landlords taking advantage,Finding houses near place of work to ensure we're not spending hours in traffic,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",More than 40%,"I paid it, no discussion",More than 10 months,,,Took on flatmates I'd rather not have,,,,I'm already past my limit,Agree,40–50%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,I'd never leave over rent,Agree,20–30%,Brokers,Deposit being eaten up,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I pushed back, and they didn't budge",6–8 months,,,,Dipped into savings to keep up,,,Another 10% and I'm out,Strongly agree,Under 20%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Strongly agree,20–30%,Landlords taking advantage,The quality of homes (and locality) you get even after paying exorbitant rents. And the prohibitive deposit. How do landlords expect renters to have several lakhs just lying around for them to lock in?,35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,Another 25%,Agree,Under 20%,Too many people moving here,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,Took on flatmates I'd rather not have,,,,I'm already past my limit,Strongly agree,20–30%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",It didn't go up,I negotiated it down,3–5 months,,,,,,None of these,Another 25%,Strongly agree,Under 20%,IT salaries,The demand for good places is too high. The landlords love to take advantage. Any argument ends up being 'but you all earn lacs per month why are you negotiating for this few thousands or few tens of thousands....',Under 25,Early career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",It didn't go up,Haven't faced a rent hike,1–2 months' rent,,,,,,None of these,I'll pay whatever it takes to stay,Agree,20–30%,Too many people moving here,,Under 25,Early career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,"I pushed back, and they didn't budge",6–8 months,Moved somewhere with a much longer commute,,,,,,I'm already past my limit,Strongly agree,30–40%,Landlords taking advantage,"Brokers, landlords and deposits",35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I paid it, no discussion",6–8 months,,,,,,None of these,Another 25%,Disagree,20–30%,IT salaries,"I'm lucky, I've got a great landlord that only hikes rent every 3 years from a relatively low base. But, that's an outlier. Part of the problem is the VC market flooding the high end in BLR, part of it is the generic problem India has with more people who own two houses than people who own one. We don't have a middle class, and that's particularly problematic in cities.",25 – 34,Self-employed / run my own business,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",11–20%,"I pushed back, and they didn't budge",6–8 months,,,,,Delayed other financial goals,,I'm already past my limit,Strongly agree,30–40%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I pushed back, and they didn't budge",3–5 months,,,Took on flatmates I'd rather not have,Dipped into savings to keep up,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,"Language barrier, when they know you are in need they take advantage.",25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",11–20%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,,,,,,Another 10% and I'm out,Strongly agree,20–30%,Landlords taking advantage,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",Up to 10%,"I paid it, no discussion",6–8 months,,,,,,None of these,I'd never leave over rent,Not sure,30–40%,IT salaries,,25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,,Took on flatmates I'd rather not have,,Delayed other financial goals,,I'm already past my limit,Strongly disagree,20–30%,Not enough housing,,25 – 34,Mid career,completed
I pay rent,"South (HSR, BTM, Jayanagar, JP Nagar)",It didn't go up,Haven't faced a rent hike,3–5 months,,,,,,None of these,I'll pay whatever it takes to stay,Not sure,Under 20%,Landlords taking advantage,Taking deposit back,35 – 44,Senior career,completed
I pay rent,"North (Hebbal, Yelahanka, Airport side)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,,,Dipped into savings to keep up,,,Another 25%,Strongly agree,Under 20%,IT salaries,Getting a good society without exorbitant rent,25 – 34,Mid career,completed
I pay rent,Outer / just outside city limits,Up to 10%,"I paid it, no discussion",6–8 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,Delayed other financial goals,,Another 10% and I'm out,Strongly agree,Under 20%,Too many people moving here,The annual hikes,25 – 34,Early career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,"I paid it, no discussion",6–8 months,,Downgraded to a smaller/older place,,,,,I'd never leave over rent,Strongly agree,20–30%,IT salaries,"Same flat with limited facilities, rates have gone up, rent blindly increased, without looking at whether your flat has that facilities or features",35 – 44,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",Up to 10%,"I pushed back, and they didn't budge",3–5 months,,Downgraded to a smaller/older place,,Dipped into savings to keep up,Delayed other financial goals,,Another 25%,Strongly agree,30–40%,Landlords taking advantage,Finding a good landlord.,25 – 34,Mid career,completed
I pay rent,"East (Whitefield, Marathahalli, KR Puram)",11–20%,"I pushed back, and they didn't budge",3–5 months,Moved somewhere with a much longer commute,Downgraded to a smaller/older place,,,,,I'm already past my limit,Strongly agree,20–30%,Too many people moving here,,35 – 44,Mid career,completed
I pay rent,"Central (Indiranagar, Koramangala, MG Road area)",Up to 10%,I negotiated it down,3–5 months,,,,,Delayed other financial goals,,I'll pay whatever it takes to stay,Agree,Under 20%,Too many people moving here,,25 – 34,Self-employed / run my own business,completed
I pay rent,Outer / just outside city limits,Haven't renewed / not applicable,Haven't faced a rent hike,3–5 months,Moved somewhere with a much longer commute,,,,,,Another 25%,Strongly agree,Under 20%,Too many people moving here,Getting places with decent facilities in affordable rent,25 – 34,Early career,completed
